Model,Scenario,Policy_category,Policy_category_name
GENeSYS-MOD 1.0,1,P???,P???: Unknown
GENeSYS-MOD 1.0,1.0,P2,P2: Immediate global action
AIM/Hub-Global 2.0,1.5C,P2,P2: Immediate global action
EPPA 6,1.5CNow_Gradual,P2,P2: Immediate global action
EPPA 6,1.5CNow_OptTax,P2,P2: Immediate global action
Scout-0.4.3,10: HR 3T (FS20),P???,P???: Unknown
Scout-0.4.3,1: RB 1T,P???,P???: Unknown
AIM/Hub-Global 2.0,2.5C,P2,P2: Immediate global action
GCAM 4.0,20% abatement (FF&I),P1d,P1d: Other policies
TIAM-WORLD 1.0,20% abatement (FF&I),P1d,P1d: Other policies
GCAM 4.0,20% abatement (GHG),P1d,P1d: Other policies
TIAM-WORLD 1.0,20% abatement (GHG),P1d,P1d: Other policies
Scout-0.4.3,2: RB 1T-2T,P???,P???: Unknown
AIM/Hub-Global 2.0,2C,P2,P2: Immediate global action
EPPA 6,2CNow_Gradual,P2,P2: Immediate global action
EPPA 6,2CNow_OptTax,P2,P2: Immediate global action
TIAM-ECN AFR 1.1,2DC,P2,P2: Immediate global action
Scout-0.4.3,3: RB 1T-2T-3T,P???,P???: Unknown
GCAM 4.0,450 concentration,P2,P2: Immediate global action
TIAM-WORLD 1.0,450 concentration,P2,P2: Immediate global action
AIM/Hub-Global 2.0,450ppmCancunP,P2,P2: Immediate global action
AIM/Hub-Global 2.0,450ppmRCP,P2,P2: Immediate global action
AIM/Hub-Global 2.0,450ppmeINDC,P2,P2: Immediate global action
Scout-0.4.3,4: RB 1T-2T-3T (FS0),P???,P???: Unknown
GCAM 4.0,50% abatement (FF&I),P1d,P1d: Other policies
TIAM-WORLD 1.0,50% abatement (FF&I),P1d,P1d: Other policies
GCAM 4.0,50% abatement (GHG),P1d,P1d: Other policies
TIAM-WORLD 1.0,50% abatement (GHG),P1d,P1d: Other policies
GCAM 4.0,550 concentration,P2,P2: Immediate global action
TIAM-WORLD 1.0,550 concentration,P2,P2: Immediate global action
Scout-0.4.3,5: RB 1T-2T-3T (FS20),P???,P???: Unknown
GCAM 4.0,650 concentration,P2,P2: Immediate global action
TIAM-WORLD 1.0,650 concentration,P2,P2: Immediate global action
Scout-0.4.3,6: HR 1T-2T-3T,P???,P???: Unknown
Scout-0.4.3,7: HR 1T-2T-3T FS0,P???,P???: Unknown
Scout-0.4.3,8: HR 1T-2T-3T FS20,P???,P???: Unknown
Scout-0.4.3,9: HR 3T (FS0),P???,P???: Unknown
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
GCAM 4.2,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
POLES ADVANCE,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
REMIND 1.7,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
WITCH-GLOBIOM 4.2,ADVANCE_2020_1.5C-2100,P2,P2: Immediate global action
IMACLIM 1.1,ADVANCE_2020_1.5C-2100_WP6,P2,P2: Immediate global action
AIM/CGE 2.0,ADVANCE_2020_Med2C,P2,P2: Immediate global action
GCAM 4.2,ADVANCE_2020_Med2C,P2,P2: Immediate global action
IMAGE 3.0.1,ADVANCE_2020_Med2C,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C,P2,P2: Immediate global action
POLES ADVANCE,ADVANCE_2020_Med2C,P2,P2: Immediate global action
REMIND 1.7,ADVANCE_2020_Med2C,P2,P2: Immediate global action
WITCH-GLOBIOM 4.2,ADVANCE_2020_Med2C,P2,P2: Immediate global action
IMACLIM 1.1,ADVANCE_2020_Med2C_WP6,P2,P2: Immediate global action
AIM/CGE 2.0,ADVANCE_2020_WB2C,P2,P2: Immediate global action
GCAM 4.2,ADVANCE_2020_WB2C,P2,P2: Immediate global action
IMAGE 3.0.1,ADVANCE_2020_WB2C,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,P2,P2: Immediate global action
POLES ADVANCE,ADVANCE_2020_WB2C,P2,P2: Immediate global action
REMIND 1.7,ADVANCE_2020_WB2C,P2,P2: Immediate global action
WITCH-GLOBIOM 4.2,ADVANCE_2020_WB2C,P2,P2: Immediate global action
IMACLIM 1.1,ADVANCE_2020_WB2C_WP6,P2,P2: Immediate global action
GCAM 4.2,ADVANCE_2030_1.5C-2100,P3b,P3b: NDC + Delayed global action
POLES ADVANCE,ADVANCE_2030_1.5C-2100,P3b,P3b: NDC + Delayed global action
REMIND 1.7,ADVANCE_2030_1.5C-2100,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.0,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
GCAM 4.2,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
IMAGE 3.0.1,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
POLES ADVANCE,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
REMIND 1.7,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
WITCH-GLOBIOM 4.2,ADVANCE_2030_Med2C,P3b,P3b: NDC + Delayed global action
IMACLIM 1.1,ADVANCE_2030_Med2C_WP6,P3a,P3a: Delayed global action
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,P3b,P3b: NDC + Delayed global action
GCAM 4.2,ADVANCE_2030_Price1.5C,P3b,P3b: NDC + Delayed global action
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,P3b,P3b: NDC + Delayed global action
POLES ADVANCE,ADVANCE_2030_Price1.5C,P3b,P3b: NDC + Delayed global action
REMIND 1.7,ADVANCE_2030_Price1.5C,P3b,P3b: NDC + Delayed global action
WITCH-GLOBIOM 4.2,ADVANCE_2030_Price1.5C,P3b,P3b: NDC + Delayed global action
IMACLIM 1.1,ADVANCE_2030_Price1.5C_WP6,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.0,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
GCAM 4.2,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
IMAGE 3.0.1,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
POLES ADVANCE,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
REMIND 1.7,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
WITCH-GLOBIOM 4.2,ADVANCE_2030_WB2C,P3b,P3b: NDC + Delayed global action
IMACLIM 1.1,ADVANCE_2030_WB2C_WP6,P3a,P3a: Delayed global action
AIM/CGE 2.0,ADVANCE_INDC,P1c,P1c: NDC
IMAGE 3.0.1,ADVANCE_INDC,P1c,P1c: NDC
MESSAGE-GLOBIOM 1.0,ADVANCE_INDC,P1c,P1c: NDC
POLES ADVANCE,ADVANCE_INDC,P1c,P1c: NDC
REMIND 1.7,ADVANCE_INDC,P1c,P1c: NDC
WITCH-GLOBIOM 4.2,ADVANCE_INDC,P1c,P1c: NDC
IMACLIM 1.1,ADVANCE_INDC_WP6,P1c,P1c: NDC
AIM/CGE 2.0,ADVANCE_NoPolicy,P1a,P1a: Baseline
GCAM 4.2,ADVANCE_NoPolicy,P1a,P1a: Baseline
IMAGE 3.0.1,ADVANCE_NoPolicy,P1a,P1a: Baseline
MESSAGE-GLOBIOM 1.0,ADVANCE_NoPolicy,P1a,P1a: Baseline
POLES ADVANCE,ADVANCE_NoPolicy,P1a,P1a: Baseline
REMIND 1.7,ADVANCE_NoPolicy,P1a,P1a: Baseline
WITCH-GLOBIOM 4.2,ADVANCE_NoPolicy,P1a,P1a: Baseline
IMACLIM 1.1,ADVANCE_NoPolicy_WP6,P1a,P1a: Baseline
AIM/CGE 2.0,ADVANCE_Reference,P1b,P1b: Current policies
IMAGE 3.0.1,ADVANCE_Reference,P1b,P1b: Current policies
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,P1b,P1b: Current policies
POLES ADVANCE,ADVANCE_Reference,P1b,P1b: Current policies
REMIND 1.7,ADVANCE_Reference,P1b,P1b: Current policies
WITCH-GLOBIOM 4.2,ADVANCE_Reference,P1b,P1b: Current policies
IMACLIM 1.1,ADVANCE_Reference_WP6,P1b,P1b: Current policies
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,P2,P2: Immediate global action
DNE21+ V.ADVANCE,ADVANCE_WP2_IND-450-FullTech,P2,P2: Immediate global action
IMAGE 3.0,ADVANCE_WP2_IND-450-FullTech,P2,P2: Immediate global action
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,P1a,P1a: Baseline
DNE21+ V.ADVANCE,ADVANCE_WP2_IND-Base-FullTech,P1a,P1a: Baseline
