Model,Scenario,Policy_category,Policy_category_name
IMAGE 3.0,ADVANCE_WP2_IND-Base-FullTech,P1a,P1a: Baseline
AIM/CGE 2.2,ADVANCE_WP2_TRA-450-FullTech,P2,P2: Immediate global action
DNE21+ V.ADVANCE,ADVANCE_WP2_TRA-450-FullTech,P2,P2: Immediate global action
IMAGE 3.0,ADVANCE_WP2_TRA-450-FullTech,P2,P2: Immediate global action
MESSAGE-Transport V.5,ADVANCE_WP2_TRA-450-FullTech,P2,P2: Immediate global action
WITCH-GLOBIOM 4.2,ADVANCE_WP2_TRA-450-FullTech,P2,P2: Immediate global action
AIM/CGE 2.2,ADVANCE_WP2_TRA-Base-FullTech,P1a,P1a: Baseline
DNE21+ V.ADVANCE,ADVANCE_WP2_TRA-Base-FullTech,P1a,P1a: Baseline
IMAGE 3.0,ADVANCE_WP2_TRA-Base-FullTech,P1a,P1a: Baseline
MESSAGE-Transport V.5,ADVANCE_WP2_TRA-Base-FullTech,P1a,P1a: Baseline
WITCH-GLOBIOM 4.2,ADVANCE_WP2_TRA-Base-FullTech,P1a,P1a: Baseline
AIM/CGE 2.2,ADVANCE_WP2_TRA-Ctax-FullTech,P2,P2: Immediate global action
DNE21+ V.ADVANCE,ADVANCE_WP2_TRA-Ctax-FullTech,P2,P2: Immediate global action
IMAGE 3.0,ADVANCE_WP2_TRA-Ctax-FullTech,P2,P2: Immediate global action
MESSAGE-Transport V.5,ADVANCE_WP2_TRA-Ctax-FullTech,P2,P2: Immediate global action
WITCH-GLOBIOM 4.2,ADVANCE_WP2_TRA-Ctax-FullTech,P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Cen Dem, PE off (V3) CO2 budget 1.5",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Cen Dem, PE off (V3) CO2 price $100 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Cen Dem, PE off (V3) CO2 price $150 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Cen Dem, PE off (V3) CO2 price $200 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Cen Dem, PE off (V3) CO2 price $250 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Low Dem, PE off (V4) CO2 budget 1.5",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Low Dem, PE off (V4) CO2 price $100 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Low Dem, PE off (V4) CO2 price $150 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Low Dem, PE off (V4) CO2 price $200 (5% p.a.)",P2,P2: Immediate global action
TIAM-Grantham 1.0,"AdvTech, Low Dem, PE off (V4) CO2 price $250 (5% p.a.)",P2,P2: Immediate global action
IEA Energy Technology Perspective Model 2017,B2DS,P2,P2: Immediate global action
MERGE-ETL 6.0,BAU,P1a,P1a: Baseline
LUT-ESTM 2.0,BPS,P???,P???: Unknown
REMIND-Buildings 2.0,Base,P1a,P1a: Baseline
AIM/Hub-Global 2.0,Baseline,P1a,P1a: Baseline
TIAM-Grantham 1.0,Baseline,P1a,P1a: Baseline
Scout-0.4.3,Baseline - HR,P1a,P1a: Baseline
Scout-0.4.3,Baseline - RB,P1a,P1a: Baseline
REMIND-EDGET 2.1,Budg1100_ConvCase,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_ConvCaseWise,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_ElecEra,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_ElecEraWise,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_HydrHype,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_HydrHypeWise,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_SynSurge,P2,P2: Immediate global action
REMIND-EDGET 2.1,Budg1100_SynSurgeWise,P2,P2: Immediate global action
REMIND-Buildings 2.0,Budg600,P2,P2: Immediate global action
REMIND-Buildings 2.0,Budg600-EG,P2,P2: Immediate global action
TIAM-ECN AFR 1.1,CAP,P1d,P1d: Other policies
TIAM-ECN KEN 1.1,CAP,P1d,P1d: Other policies
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
COPPE-COFFEE 1.0,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
DNE21+ V.14C,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
IMAGE 3.0.1,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
POLES CD-LINKS,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
WITCH-GLOBIOM 4.4,CD-LINKS_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
POLES CD-LINKS,CD-LINKS_INDC2030i_400,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,P1c: NDC
COPPE-COFFEE 1.0,CD-LINKS_INDCi,P1c,P1c: NDC
DNE21+ V.14C,CD-LINKS_INDCi,P1c,P1c: NDC
GEM-E3 V1,CD-LINKS_INDCi,P1c,P1c: NDC
IMAGE 3.0.1,CD-LINKS_INDCi,P1c,P1c: NDC
MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDCi,P1c,P1c: NDC
POLES CD-LINKS,CD-LINKS_INDCi,P1c,P1c: NDC
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDCi,P1c,P1c: NDC
WITCH-GLOBIOM 4.4,CD-LINKS_INDCi,P1c,P1c: NDC
GEM-E3 V1,CD-LINKS_INDCi_recGenTaxation,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_INDCi_recSocialSecurity,P1c,P1c: NDC
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
COPPE-COFFEE 1.0,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
DNE21+ V.14C,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
IMAGE 3.0.1,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
POLES CD-LINKS,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
WITCH-GLOBIOM 4.4,CD-LINKS_NDC2030i_1000,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.1,CD-LINKS_NPi,P1b,P1b: Current policies
COPPE-COFFEE 1.0,CD-LINKS_NPi,P1b,P1b: Current policies
DNE21+ V.14C,CD-LINKS_NPi,P1b,P1b: Current policies
GEM-E3 V1,CD-LINKS_NPi,P1b,P1b: Current policies
IMAGE 3.0.1,CD-LINKS_NPi,P1b,P1b: Current policies
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,P1b,P1b: Current policies
POLES CD-LINKS,CD-LINKS_NPi,P1b,P1b: Current policies
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,P1b,P1b: Current policies
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,P1b,P1b: Current policies
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
COPPE-COFFEE 1.0,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
DNE21+ V.14C,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
POLES CD-LINKS,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,P2a,P2: Immediate global action without trade
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_1000_recGenTaxation,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_1000_recSocialSecurity,P2,P2: Immediate global action
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
COPPE-COFFEE 1.0,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
DNE21+ V.14C,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
POLES CD-LINKS,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,P2a,P2: Immediate global action without trade
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1600,P2,P2: Immediate global action
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
COPPE-COFFEE 1.0,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
DNE21+ V.14C,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
IMAGE 3.0.1,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
POLES CD-LINKS,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,P2a,P2: Immediate global action without trade
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_400_recGenTaxation,P2,P2: Immediate global action
GEM-E3 V1,CD-LINKS_NPi2020_400_recSocialSecurity,P2,P2: Immediate global action
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,P1a: Baseline
DNE21+ V.14C,CD-LINKS_NoPolicy,P1a,P1a: Baseline
IMAGE 3.0.1,CD-LINKS_NoPolicy,P1a,P1a: Baseline
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NoPolicy,P1a,P1a: Baseline
POLES CD-LINKS,CD-LINKS_NoPolicy,P1a,P1a: Baseline
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NoPolicy,P1a,P1a: Baseline
WITCH-GLOBIOM 4.4,CD-LINKS_NoPolicy,P1a,P1a: Baseline
Reference,CEDS,P???,P???: Unknown
REMIND 1.7,CEMICS-1.5-CDR12,P2,P2: Immediate global action
REMIND 1.7,CEMICS-1.5-CDR20,P2,P2: Immediate global action
REMIND 1.7,CEMICS-1.5-CDR8,P2,P2: Immediate global action
REMIND 1.7,CEMICS-2.0-CDR12,P2,P2: Immediate global action
REMIND 1.7,CEMICS-2.0-CDR20,P2,P2: Immediate global action
REMIND 1.7,CEMICS-2.0-CDR8,P2,P2: Immediate global action
REMIND 1.7,CEMICS-Ref,P1b,P1b: Current policies
REMIND 2.1,CEMICS_GDPgrowth_1p5,P2,P2: Immediate global action
REMIND 2.1,CEMICS_GDPgrowth_2C,P2a,P2: Immediate global action without trade
REMIND 2.1,CEMICS_HotellingConst_1p5,P2a,P2: Immediate global action without trade
REMIND 2.1,CEMICS_HotellingConst_2C,P2a,P2: Immediate global action without trade
REMIND 2.1,CEMICS_Linear_1p5,P2a,P2: Immediate global action without trade
REMIND 2.1,CEMICS_Linear_2C,P2a,P2: Immediate global action without trade
REMIND 2.1,CEMICS_NPI,P1b,P1b: Current policies
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-limCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-noCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-2C-fullCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-2C-limCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-2C-noCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-NPI,P1b,P1b: Current policies
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-limCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-noCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-limCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-noCDR,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-NPI,P1b,P1b: Current policies
REMIND 2.1,CEMICS_opt_1p5,P2a,P2: Immediate global action without trade
REMIND 2.1,CEMICS_opt_2C,P2a,P2: Immediate global action without trade
MIGRATION 1.0,CO2EM_SSP1-1.9_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,CO2EM_SSP2-4.5_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,CO2EM_SSP3-7.0_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,CO2EM_SSP4-6.0_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,CO2EM_SSP5-8.5_zeromig,P0,P0: Diagnostic
AIM/CGE 2.1,CO_2Deg2020,P2,P2: Immediate global action
COFFEE 1.0,CO_2Deg2020,P2,P2: Immediate global action
COFFEE 1.1,CO_2Deg2020,P2,P2: Immediate global action
IMAGE 3.0,CO_2Deg2020,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,CO_2Deg2020,P2,P2: Immediate global action
POLES GECO2019,CO_2Deg2020,P2,P2: Immediate global action
PROMETHEUS 1.0,CO_2Deg2020,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,P2a,P2: Immediate global action without trade
TIAM-Grantham 3.2,CO_2Deg2020,P2,P2: Immediate global action
WITCH 5.0,CO_2Deg2020,P2,P2: Immediate global action
AIM/CGE 2.1,CO_2Deg2030,P3a,P3a: Delayed global action
COFFEE 1.1,CO_2Deg2030,P3a,P3a: Delayed global action
IMAGE 3.0,CO_2Deg2030,P3a,P3a: Delayed global action
MESSAGEix-GLOBIOM_1.0,CO_2Deg2030,P3a,P3a: Delayed global action
POLES GECO2019,CO_2Deg2030,P3a,P3a: Delayed global action
PROMETHEUS 1.0,CO_2Deg2030,P3a,P3a: Delayed global action
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,P3b,P3b: NDC + Delayed global action
TIAM-Grantham 3.2,CO_2Deg2030,P3a,P3a: Delayed global action
WITCH 5.0,CO_2Deg2030,P3a,P3a: Delayed global action
AIM/CGE 2.1,CO_BAU,P1a,P1a: Baseline
COFFEE 1.0,CO_BAU,P1a,P1a: Baseline
COFFEE 1.1,CO_BAU,P1a,P1a: Baseline
IMAGE 3.0,CO_BAU,P1a,P1a: Baseline
MESSAGEix-GLOBIOM_1.0,CO_BAU,P1a,P1a: Baseline
POLES GECO2019,CO_BAU,P1a,P1a: Baseline
PROMETHEUS 1.0,CO_BAU,P1a,P1a: Baseline
REMIND-MAgPIE 1.7-3.0,CO_BAU,P1a,P1a: Baseline
TIAM-Grantham 3.2,CO_BAU,P1a,P1a: Baseline
WITCH 5.0,CO_BAU,P1a,P1a: Baseline
AIM/CGE 2.1,CO_Bridge,P3c,P3c: Other policies + Delayed global action
COFFEE 1.0,CO_Bridge,P3c,P3c: Other policies + Delayed global action
COFFEE 1.1,CO_Bridge,P3c,P3c: Other policies + Delayed global action
IMAGE 3.0,CO_Bridge,P3c,P3c: Other policies + Delayed global action
MESSAGEix-GLOBIOM_1.0,CO_Bridge,P3c,P3c: Other policies + Delayed global action
POLES GECO2019,CO_Bridge,P3c,P3c: Other policies + Delayed global action
PROMETHEUS 1.0,CO_Bridge,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,CO_Bridge,P3c,P3c: Other policies + Delayed global action
TIAM-Grantham 3.2,CO_Bridge,P3c,P3c: Other policies + Delayed global action
WITCH 5.0,CO_Bridge,P3c,P3c: Other policies + Delayed global action
COFFEE 1.0,CO_Bridge_notax,P3c,P3c: Other policies + Delayed global action
POLES GECO2019,CO_Bridge_notax,P3c,P3c: Other policies + Delayed global action
AIM/CGE 2.1,CO_CurPol,P1b,P1b: Current policies
COFFEE 1.0,CO_CurPol,P1b,P1b: Current policies
COFFEE 1.1,CO_CurPol,P1b,P1b: Current policies
IMAGE 3.0,CO_CurPol,P1b,P1b: Current policies
MESSAGEix-GLOBIOM_1.0,CO_CurPol,P1b,P1b: Current policies
POLES GECO2019,CO_CurPol,P1b,P1b: Current policies
PROMETHEUS 1.0,CO_CurPol,P1b,P1b: Current policies
REMIND-MAgPIE 1.7-3.0,CO_CurPol,P1b,P1b: Current policies
TIAM-Grantham 3.2,CO_CurPol,P1b,P1b: Current policies
WITCH 5.0,CO_CurPol,P1b,P1b: Current policies
AIM/CGE 2.1,CO_GPP,P1d,P1d: Other policies
COFFEE 1.0,CO_GPP,P1d,P1d: Other policies
COFFEE 1.1,CO_GPP,P1d,P1d: Other policies
IMAGE 3.0,CO_GPP,P1d,P1d: Other policies
MESSAGEix-GLOBIOM_1.0,CO_GPP,P1d,P1d: Other policies
POLES GECO2019,CO_GPP,P1d,P1d: Other policies
PROMETHEUS 1.0,CO_GPP,P1d,P1d: Other policies
REMIND-MAgPIE 1.7-3.0,CO_GPP,P1d,P1d: Other policies
TIAM-Grantham 3.2,CO_GPP,P1d,P1d: Other policies
