Model,Scenario,marker
AIM/CGE 2.0,SSP1-19,S1
MESSAGE-GLOBIOM 1.0,SSP2-19,S2
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand,LED
REMIND-MAgPIE 1.5,SSP5-19,S5
