"Model","Scenario","scenario_family","economic_baseline","type"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2030_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_INDC","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_NoPolicy","ADVANCE","ADVANCE_Reference","baseline"
"AIM/CGE 2.0","ADVANCE_Reference","ADVANCE","ADVANCE_Reference","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","SFCM","SFCM_SSP2_Bio_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_Bio_2Degree","SFCM","SFCM_SSP2_Bio_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_Bio_Baseline","SFCM","SFCM_SSP2_Bio_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","SFCM","SFCM_SSP2_EEEI_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","SFCM","SFCM_SSP2_EEEI_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_Baseline","SFCM","SFCM_SSP2_EEEI_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","SFCM","SFCM_SSP2_LifeStyle_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_2Degree","SFCM","SFCM_SSP2_LifeStyle_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_Baseline","SFCM","SFCM_SSP2_LifeStyle_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Ref_1p5Degree","SFCM","SFCM_SSP2_Ref_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Ref_2Degree","SFCM","SFCM_SSP2_Ref_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Ref_Baseline","SFCM","SFCM_SSP2_Ref_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_1p5Degree","SFCM","SFCM_SSP2_ST_CCS_Baseline","mitigation"
